Job Titles,Department
LIEUTENANT-EMT,FIRE DEPARTMENT
HR GENERALIST - DHR,DEPARTMENT OF HUMAN RESOURCES
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
ASST DIR OF NEWS AFFAIRS,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT
FIELD SUPVSR,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW
POLICE OFFICER,DEPARTMENT OF POLICE
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
SENIOR COMPANION,FAMILY AND SUPPORT SERVICES
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
DIRECTOR OF FINANCE,FAMILY AND SUPPORT SERVICES
CLERK III,FAMILY AND SUPPORT SERVICES
ALDERMAN,CITY COUNCIL
FIREFIGHTER-EMT,FIRE DEPARTMENT
AMBULANCE COMMANDER,FIRE DEPARTMENT
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
FIREFIGHTER-EMT,FIRE DEPARTMENT
MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
CONSTRUCTION LABORER (SUB-FOREMAN),DEPT OF WATER MANAGEMENT
PROJECTS ADMINISTRATOR,DEPARTMENT OF PUBLIC HEALTH
LIEUTENANT,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE DEPARTMENT
WEB AUTHOR,DEPARTMENT OF AVIATION
LIEUTENANT-EMT,FIRE DEPARTMENT
HOISTING ENGINEER,DEPT OF WATER MANAGEMENT
WATCHMAN,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
LIEUTENANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
OPERATING ENGINEER-GROUP A,DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
MACHINIST (AUTOMOTIVE),DAIS
DEPUTY CORPORATION COUNSEL,DEPARTMENT OF LAW
DETENTION AIDE,DEPARTMENT OF POLICE
INVESTIGATOR-COPA,COPA
POOL MOTOR TRUCK DRIVER,CHICAGO DEPT OF TRANSPORTATION
PARAMEDIC I/C,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
ADMINISTRATIVE SERVICES OFFICER I,PUBLIC SAFETY ADMINISTRATION
AIRPORT OPERATIONS SUPVSR II,DEPARTMENT OF AVIATION
POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST),DEPARTMENT OF POLICE
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT
MGR OF EMERGENCY MANAGEMENT SERVICES,DEPARTMENT OF PUBLIC HEALTH
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
OPERATING ENGINEER-GROUP C,DEPT OF WATER MANAGEMENT
CAPTAIN-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
SANITATION LABORER,DEPT STREETS AND SANITATION
MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
SANITARIAN II,DEPARTMENT OF PUBLIC HEALTH
GENERAL LABORER - DSS,DEPT STREETS AND SANITATION
OPERATING ENGINEER-GROUP C,DEPT OF WATER MANAGEMENT
GENERAL LABORER - AVIATION,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
ASST DIVISION SUPERINTENDENT,DEPT STREETS AND SANITATION
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE
BOOTER - PARKING,DEPARTMENT OF FINANCE
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
DETENTION AIDE,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
CIVIL ENGINEER V,CHICAGO DEPT OF TRANSPORTATION
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
LIEUTENANT-EMT,FIRE DEPARTMENT
MOTOR TRUCK DRIVER,CHICAGO PUBLIC LIBRARY
WARD SUPERINTENDENT,DEPT STREETS AND SANITATION
MGR OF HUMAN RESOURCES-PUBLIC SAFETY,PUBLIC SAFETY ADMINISTRATION
POLICE OFFICER,DEPARTMENT OF POLICE
CHIEF ASST CORPORATION COUNSEL,DEPARTMENT OF LAW
SENIOR COMPANION,FAMILY AND SUPPORT SERVICES
ADMINISTRATIVE SERVICES OFFICER II,DAIS
FIREFIGHTER-EMT,FIRE DEPARTMENT
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
LIBRARIAN III,CHICAGO PUBLIC LIBRARY
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
BRIDGE AND STRUCTURAL IRON WORKER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
PROPERTY CUSTODIAN,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
PSYCHIATRIC NURSE PRACTIONER,DEPARTMENT OF PUBLIC HEALTH
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
FIREFIGHTER-EMT,FIRE DEPARTMENT
SR INFORMATION ANALYST-IGO,IG
ALDERMAN,CITY COUNCIL
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
MACHINIST (AUTOMOTIVE),DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
DEPUTY COMMISSIONER,DEPT OF WATER MANAGEMENT
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION
CIVIL ENGINEER III,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION
PROJECTS ADMINISTRATOR,DEPARTMENT OF AVIATION
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
FIREFIGHTER,FIRE DEPARTMENT
FREEDOM OF INFORMATION ACT OFFICER,DEPARTMENT OF POLICE
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
LIBRARIAN II,CHICAGO PUBLIC LIBRARY
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
MANAGER OF VEHICLE MAINTENANCE,DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
CLERK IV,CHICAGO PUBLIC LIBRARY
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
DEPUTY CHIEF,DEPARTMENT OF POLICE
ELECTRICAL MECHANIC,DEPT OF WATER MANAGEMENT
COORDINATING ENGINEER I,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
ASPHALT FOREMAN,CHICAGO DEPT OF TRANSPORTATION
SANITATION LABORER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
PROJECT STRATEGY MANAGER - CPD,DEPARTMENT OF POLICE
HOISTING ENGINEER,DEPT OF WATER MANAGEMENT
GENERAL LABORER - DSS,DEPT STREETS AND SANITATION
SANITARIAN II,DEPARTMENT OF PUBLIC HEALTH
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
LIBRARIAN III,CHICAGO PUBLIC LIBRARY
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER (ASGND AS MARINE OFFICER),DEPARTMENT OF POLICE
PARAMEDIC I/C,FIRE DEPARTMENT
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
PRESS AIDE I,OFFICE OF THE MAYOR
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
LEGISLATIVE AIDE,CITY COUNCIL
PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
LIEUTENANT,DEPARTMENT OF POLICE
GENERAL LABORER - DSS,DEPT STREETS AND SANITATION
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
DETENTION AIDE,DEPARTMENT OF POLICE
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
ENVIRONMENTAL ENGINEER III,DAIS
STAFF ASSISTANT - EXCLUDED,DEPARTMENT OF PUBLIC HEALTH
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
FOSTER GRANDPARENT,FAMILY AND SUPPORT SERVICES
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT
LABORER - APPRENTICE,DEPT OF WATER MANAGEMENT
PROJECT MANAGER,PUBLIC SAFETY ADMINISTRATION
VETERINARY ASST,COMM ANIMAL CARE AND CONTROL
ENGINEERING TECHNICIAN VI,DEPT OF WATER MANAGEMENT
CONCRETE LABORER,CHICAGO DEPT OF TRANSPORTATION
ELECTRICAL MECHANIC,PUBLIC SAFETY ADMINISTRATION
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
CHIEF DATA AND INFORMATION ANALYST,IG
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC I/C,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FIRE ENGINEER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
BATTALION CHIEF - EMT,FIRE DEPARTMENT
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
AVIATION SECURITY SERGEANT,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
ADMINISTRATIVE ASST III - EXCLUDED,DEPARTMENT OF HUMAN RESOURCES
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
GENERAL MANAGER OF AIRPORT OPERATIONS,DEPARTMENT OF AVIATION
LIEUTENANT-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
ASST TO THE DIRECTOR,DEPARTMENT OF FINANCE
DEPUTY COMMISSIONER,CHICAGO DEPT OF TRANSPORTATION
FIREFIGHTER-EMT,FIRE DEPARTMENT
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPT OF TRANSPORTATION
SANITATION LABORER,DEPT STREETS AND SANITATION
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
AIRPORT OPERATIONS SUPVSR I,DEPARTMENT OF AVIATION
MACHINIST,DEPARTMENT OF AVIATION
TIMEKEEPER - CPD,PUBLIC SAFETY ADMINISTRATION
POLICE OFFICER,DEPARTMENT OF POLICE
PAYMENT SERVICES REPRESENTATIVE,CITY CLERK
HR GENERALIST - DHR,DEPARTMENT OF HUMAN RESOURCES
SEWER BRICKLAYER,DEPT OF WATER MANAGEMENT
PROJECTS ADMINISTRATOR,CHICAGO DEPT OF TRANSPORTATION
LIEUTENANT-EMT,FIRE DEPARTMENT
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT
ALDERMAN,CITY COUNCIL
POLICE OFFICER,DEPARTMENT OF POLICE
ASST TO THE DIR,BOARD OF ELECTION COMMISSIONER
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
ASST PAYROLL ADMINISTRATOR,PUBLIC SAFETY ADMINISTRATION
POLICE OFFICER,DEPARTMENT OF POLICE
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS
ASST COMMISSIONER,CHICAGO DEPT OF TRANSPORTATION
FOSTER GRANDPARENT,FAMILY AND SUPPORT SERVICES
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
FINANCE OFFICER,DEPARTMENT OF PUBLIC HEALTH
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
ACCOUNTING TECHNICIAN,FAMILY AND SUPPORT SERVICES
FIREFIGHTER-EMT,FIRE DEPARTMENT
ASPHALT LABORER,CHICAGO DEPT OF TRANSPORTATION
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
FOSTER GRANDPARENT,FAMILY AND SUPPORT SERVICES
CRIMINAL HISTORY ANALYST,BUS AFFAIRS AND CONSUMER PROT
SENIOR BUSINESS CONSULTANT,BUS AFFAIRS AND CONSUMER PROT
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC I/C,FIRE DEPARTMENT
CAPTAIN-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
CARPENTER,DAIS
NON-CDL DRIVER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE
FIRE ENGINEER-EMT,FIRE DEPARTMENT
HOISTING ENGINEER,CHICAGO DEPT OF TRANSPORTATION
PROJECTS ADMINISTRATOR,DEPARTMENT OF FINANCE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
DEPUTY CHIEF OF STAFF,OFFICE OF THE MAYOR
SERGEANT,DEPARTMENT OF POLICE
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT
POLICE TECHNICIAN,DEPARTMENT OF POLICE
CEMENT FINISHER,CHICAGO DEPT OF TRANSPORTATION
SENIOR EMERGENCY MANAGEMENT COORD,OFFICE OF EMERGENCY MANAGEMENT
STUDIO EQUIPMENT ENGINEER,BUS AFFAIRS AND CONSUMER PROT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
ADMINISTRATIVE ASST TO DEPUTY CORPORATION COUNSEL,DEPARTMENT OF LAW
SUPERVISING POLICE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT
PLUMBER,DEPT OF WATER MANAGEMENT
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
FIREFIGHTER,FIRE DEPARTMENT
LABORER,DAIS
SERGEANT,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
ALDERMANIC AIDE,CITY COUNCIL
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
DIR OF INVESTIGATIONS - COPA,COPA
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
FIREFIGHTER-EMT,FIRE DEPARTMENT
INVESTIGATOR,PUBLIC SAFETY ADMINISTRATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
ASST CORPORATION COUNSEL SENIOR,DEPARTMENT OF LAW
CEMENT FINISHER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICY ANALYST,CITY TREASURER
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
SENIOR COMPANION,FAMILY AND SUPPORT SERVICES
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY
PLUMBER,DEPT OF WATER MANAGEMENT
SUPVSR OF CHILDREN SERVICES PROGRAMS,FAMILY AND SUPPORT SERVICES
POLICE OFFICER,DEPARTMENT OF POLICE
PROJECT MANAGER,DEPARTMENT OF PUBLIC HEALTH
ALDERMANIC AIDE,CITY COUNCIL
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
HOSPITALITY WORKER,FAMILY AND SUPPORT SERVICES
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIRE MARSHAL-EMT,FIRE DEPARTMENT
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW
LIEUTENANT-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
ACCOUNTANT I,DEPARTMENT OF FINANCE
STUDENT INTERN,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
LIBRARY CLERK - HOURLY,CHICAGO PUBLIC LIBRARY
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW
FIREFIGHTER-EMT,FIRE DEPARTMENT
TESTING ADMINISTRATOR,DEPARTMENT OF HUMAN RESOURCES
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
PUBLIC HEALTH NUTRITIONIST II,DEPARTMENT OF PUBLIC HEALTH
OPERATING ENGINEER-GROUP C,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
LIEUTENANT-EMT,FIRE DEPARTMENT
MACHINIST (AUTOMOTIVE),DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
OPERATING ENGINEER-GROUP A,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
STAFF ASST,DEPARTMENT OF FINANCE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
MOTOR TRUCK DRIVER - TIRE REPAIR,DAIS
PARAMEDIC,FIRE DEPARTMENT
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT
COORD OF SECURITY SERVICES,DEPT OF WATER MANAGEMENT
HOISTING ENGINEER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
PROJECT COORD,BUS AFFAIRS AND CONSUMER PROT
POLICE OFFICER,DEPARTMENT OF POLICE
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT
SERGEANT,DEPARTMENT OF POLICE
HUMAN RELATIONS SPECIALIST II,COMMISSION ON HUMAN RELATIONS
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
SAFETY SPECIALIST,DEPARTMENT OF AVIATION
LABORER - APPRENTICE,DEPT OF WATER MANAGEMENT
GENERAL LABORER - DSS,DEPT STREETS AND SANITATION
ASST COMMISSIONER,DEPARTMENT OF PLANNING AND DEVELOPMENT
PRINCIPAL OPERATIONS ANALYST,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
STUDENT INTERN,DEPT OF CULTURAL AFFAIRS
CERTIFIED MEDICAL ASST,DEPARTMENT OF PUBLIC HEALTH
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT
STRUCTURAL ENGINEER IV,DEPT OF BUILDINGS
ASST TO THE ALDERMAN,CITY COUNCIL
AIRPORT OPERATIONS SUPVSR II,DEPARTMENT OF AVIATION
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
CLINICAL THERAPIST III,DEPARTMENT OF POLICE
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC I/C,FIRE DEPARTMENT
ELECTRICAL MECHANIC,DEPT OF WATER MANAGEMENT
PUBLIC HEALTH ADMINISTRATOR II,DEPARTMENT OF PUBLIC HEALTH
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE
ELECTRICAL MECHANIC,CHICAGO DEPT OF TRANSPORTATION
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
GENERAL MANAGER OF AIRPORT OPERATIONS,DEPARTMENT OF AVIATION
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
SANITATION LABORER,DEPT STREETS AND SANITATION
FIREFIGHTER-EMT,FIRE DEPARTMENT
PAINTER,DEPT OF WATER MANAGEMENT
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
DEPUTY DISTRICT CHIEF,FIRE DEPARTMENT
PORTFOLIO MANAGER,CITY TREASURER
STAFF ASST,DEPT OF BUILDINGS
CONCRETE LABORER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
DIR OF INVESTIGATIONS - COPA,COPA
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
DEPUTY DISTRICT CHIEF,FIRE DEPARTMENT
MACHINIST,DEPT OF WATER MANAGEMENT
FIREFIGHTER-EMT,FIRE DEPARTMENT
OPERATING ENGINEER-GROUP C,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
SANITATION LABORER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
LAMP MAINTENANCE WORKER,CHICAGO DEPT OF TRANSPORTATION
HOISTING ENGINEER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
MACHINIST (AUTOMOTIVE),DAIS
LIEUTENANT,DEPARTMENT OF POLICE
ADMINISTRATIVE SERVICES OFFICER II,DAIS
